ROW,YEAR,species,CAPDATE,juldate,PERIOD,missing_data,BAND,sex,age,how_sexed,CAPSITE,ver_hab,USE_HAB,hematocrit,T,T_SQRT,T_Log,USE_T,CAPTIME,StdJulDep,Time2Dep,mass,fat,CAPBM,WING,tarsus,TAIL,BANDER,BLOOD_TIME,HEM,TOTAL,bs1,bs7,bs14,bs30,BR1,BR7,BR14,BR30
1734,2010,AMRE,3/19/10,78,3,,241079092,M,ASY,PLUM,MII,M,Y,0.5,394.63,19.87,2.6,Y,810,123,45,7,2,1,62,17.86,55,CMT,3,28.97,58.31,0,0,0,30.5,0,0,0,4
1820,2010,AMRE,3/24/10,83,3,,257044472,M,SY,PLUM,MII,E,Y,0.46,397.96,19.95,2.6,Y,1225,NA,,6.9,2,1,61,16.98,56,NWC,4,20.03,43.52,0,0,0,30.5,0,0,0,4
1698,2010,AMRE,3/16/10,75,3,,257044312,M,SY,PLUM,MM,M,Y,0.47,401.6,20.04,2.6,Y,750,123,48,7.1,3,1,60,17.1,54.5,CMT,4,23.77,50.76,0,0,0,30.5,0,0,4,4
1828,2010,AMRE,3/24/10,83,3,,255040132,M,ASY,PLUM,MI,E,Y,0.44,486.26,22.05,2.69,Y,1010,132,49,6.9,2,1,62.5,17.38,55.5,CMT,5,24.91,56.56,0,0,0,30.5,0,0,0,4
1741,2010,AMRE,3/19/10,78,3,,257044368,M,SY,PLUM,MII,U,N,0.46,567.04,23.81,2.75,Y,1010,NA,,7,1,1,60,18.58,63,NWC,3,21.7,47.13,0,0,0,30.5,0,0,0,4
1770,2010,AMRE,3/20/10,79,3,,255040147,M,ASY,PLUM,LII,L,Y,0.47,747.61,27.34,2.87,n,1200,123,44,7.2,2,2,62,16.75,55,NWC,5,11.03,23.36,0,0,0,30.5,0,0,0,4
1723,2010,AMRE,3/18/10,77,3,Y,257044366,F,SY,PLUM,LII,U,N,0.39,,,, ,1200,NA,,6.4,2,1,55.5,17.6,52,CMT,5,21.95,55.83,0,0,0,30.5,0,0,0,4
1813,2010,AMRE,3/23/10,82,3,Y,257044471,F,ASY,PLUM,LII,U,N,0.4,,,, ,935,NA,,6,1,1,57.5,16.97,55,NWC,4,6.2,15.36,0,0,0,30.5,0,0,0,4
1768,2010,AMRE,3/20/10,79,3,Y,257044469,F,SY,PLUM,LII,U,N,0.41,,,, ,1040,NA,,7,0,1,61.5,17.69,54,NWC,1,25.42,62.73,0,0,0,30.5,0,0,0,4
1771,2010,AMRE,3/20/10,79,3,Y,257044470,F,ASY,PLUM,LII,F,N,0.42,,,, ,1200,NA,,6.7,1,1,58,17.5,55,NWC,5,6.86,16.23,0,0,0,30.5,0,0,0,4
1756,2010,AMRE,3/20/10,79,3,Y,255039536,F,ASY,PLUM,MII,M,Y,0.42,,,, ,710,NA,,6.3,2,1,58,17.55,51,CMT,5,24.64,58.48,0,0,0,30.5,0,0,0,4
1724,2010,AMRE,3/18/10,77,3,Y,255040104,F,ASY,PLUM,LII,L,Y,0.43,,,, ,1250,129,52,6.7,2,2,58,16.89,55.5,MAT,4,27.31,63.2,0,0,0,30.5,0,0,0,4
1826,2010,AMRE,3/24/10,83,3,Y,255040195,F,ASY,PLUM,MI,F,N,0.44,,,, ,740,NA,,6.1,0,1,58.5,16.64,53,CMT,4,8.3,19.01,0,0,0,30.5,0,0,0,4
1775,2010,AMRE,3/21/10,80,3,Y,253012002,M,ASY,PLUM,LII,L,Y,0.44,,,, ,745,129,49,6.2,0,2,60.5,16.71,54,NWC,4,27.96,63.35,0,0,0,30.5,0,0,0,4
1719,2010,AMRE,3/18/10,77,3,Y,231031552,F,ASY,PLUM,LII,L,Y,0.45,,,, ,940,138,61,6.3,0,1,56,17.58,56,MAT,8,30.09,67.1,0,0,0,30.5,0,0,0,4
1793,2010,AMRE,3/22/10,81,3,Y,255040167,F,ASY,PLUM,LII,L,Y,0.45,,,, ,950,132,51,6.1,1,1,58,16.72,54,NWC,4,22.51,49.78,0,0,0,30.5,0,0,0,4
1706,2010,AMRE,3/17/10,76,3,Y,231031545,F,ASY,PLUM,LII,L,Y,0.46,,,, ,740,129,53,6.4,1,1,59.5,17.08,55,CMT,3,23.8,52.17,0,0,0,30.5,0,0,0,4
1814,2010,AMRE,3/23/10,82,3,Y,253012005,F,ASY,PLUM,LII,L,Y,0.46,,,, ,1035,126,44,6.2,1,1,59,16.76,56,NWC,4,23.85,51.92,0,0,0,30.5,0,0,0,4
1730,2010,AMRE,3/19/10,78,3,Y,257044367,F,SY,PLUM,MII,M,Y,0.46,,,, ,640,117,39,6,0,1,57,16.86,55.5,MAT,4,19.75,42.82,0,0,0,30.5,0,0,0,4
